arquivo,os,cliente,tecnico,tipo_operacional,cobertura,descricao_produto,contrato_ativo_inativo,ordem_compra,alerta_faturamento,alerta_codigo,alerta_laudo,alerta_contrato,alerta_total
C:\Users\paulo.aguiar\Downloads\V67561.pdf,V67561,REFRIX ENVASADORA DE BEBIDAS LTDA,VALMIR ALVES RIBEIRO,Instalacao,Avulso,CONTROLADOR MD 5718F,Inativo,,1,0,0,0,1
C:\Users\paulo.aguiar\Downloads\V67163.pdf,V67163,ALUX DO BRASIL IND E COM. LTDA,CELSO LUIS MATOS,Instalacao,Avulso,CATRACA MDC 5906 V2 PX 125KHZ,Inativo,,1,0,0,0,1
C:\Users\paulo.aguiar\Downloads\V67298.pdf,V67298,ALUX DO BRASIL IND E COM. LTDA,CELSO LUIS MATOS,Instalacao,Avulso,CATRACA MDC 5906 V2 PX 125KHZ,Inativo,,1,0,0,0,1
C:\Users\paulo.aguiar\Downloads\V67462.pdf,V67462,HYDAC TECNOLOGIA LTDA.,VINICIUS BOIA DOS SANTOS,Instalacao,Avulso,CATRACA NEW BAP BR.RET PX 125KHZ QR,Inativo,,1,0,0,0,1
C:\Users\paulo.aguiar\Downloads\V67416.pdf,V67416,HYDAC TECNOLOGIA LTDA.,VINICIUS BOIA DOS SANTOS,Instalacao,Avulso,CONTROLADOR FACE ACCESS ULTRA,Inativo,,1,0,1,0,2
C:\Users\paulo.aguiar\Downloads\V67303.pdf,V67303,HYDAC TECNOLOGIA LTDA.,VINICIUS BOIA DOS SANTOS,Instalacao,Avulso,CONTROLADOR FACE ACCESS ULTRA,Inativo,,1,0,0,0,1
C:\Users\paulo.aguiar\Downloads\V67302.pdf,V67302,HYDAC TECNOLOGIA LTDA.,VINICIUS BOIA DOS SANTOS,Instalacao,Avulso,CONTROLADOR FACE ACCESS ULTRA,Inativo,,1,0,1,0,2
C:\Users\paulo.aguiar\Downloads\V67143.pdf,V67143,HYDAC TECNOLOGIA LTDA.,CELSO LUIS MATOS,Instalacao,Avulso,CATRACA NEW BAP BR.RET PX 125KHZ QR,Inativo,,1,0,0,0,1
C:\Users\paulo.aguiar\Downloads\V67059.pdf,V67059,HYDAC TECNOLOGIA LTDA.,LEANDRO TIAGO / VINICIUS BOIA DOS SANTOS / ISRAEL OSVALDO INACIO /,Instalacao,Avulso,CATRACA NEW BAP BR.RET PX 125KHZ QR,Inativo,,1,0,0,0,1
C:\Users\paulo.aguiar\Downloads\V67058.pdf,V67058,HYDAC TECNOLOGIA LTDA.,LEANDRO TIAGO / VINICIUS BOIA DOS SANTOS / ISRAEL OSVALDO INACIO /,Instalacao,Avulso,CATRACA BAP BLACK V2 PX 125KHZ (P/ FACIAL),Inativo,,1,0,0,0,1
C:\Users\paulo.aguiar\Downloads\V66880.pdf,V66880,HYDAC TECNOLOGIA LTDA.,VALMIR ALVES RIBEIRO,Instalacao,Avulso,VISITA E ORIENTACAO INFRA ESTRUTURA,Inativo,,1,0,0,0,1
C:\Users\paulo.aguiar\Downloads\V66401.pdf,V66401,HYDAC TECNOLOGIA LTDA.,CELSO LUIS MATOS,Instalacao,Avulso,VISITA E ORIENTACAO INFRA ESTRUTURA,Inativo,,1,0,0,0,1
C:\Users\paulo.aguiar\Downloads\V64989.pdf,V64989,"CONSTRUTORA TENDA S/A Endereco: Av. Wilson Moreira de Santana,",VALMIR ALVES RIBEIRO,Corretiva/Chamado,Avulso,RELOGIO SMART PRINT,Inativo,( ),1,0,0,0,1
C:\Users\paulo.aguiar\Downloads\2024487450condominiotimecentercampinas\V63044.pdf,V63044,CONDOMINIO TIME CENTER,CELSO LUIS MATOS / LEANDRO,Outro,Avulso,CONTROLADOR FACE,Inativo,,1,0,1,0,2
C:\Users\paulo.aguiar\Downloads\2024487450condominiotimecentercampinas\V65474.pdf,V65474,CONDOMINIO TIME CENTER CAMPINAS,BRUNO DE ARAUJO MARTUCCI,Corretiva/Chamado,Garantia,TORNIQUETE SMART TURN,Inativo,"( )Nao ( )Sim, Algu",1,0,0,0,1
C:\Users\paulo.aguiar\Downloads\2024487450condominiotimecentercampinas\V63032.pdf,V63032,CONDOMINIO TIME CENTER,PAULO VITOR DE OLIVEIRA AGUIAR,Outro,Avulso,TORNIQUETE SMART,Inativo,,1,0,0,0,1
C:\Users\paulo.aguiar\Downloads\2024487450condominiotimecentercampinas\V65230.pdf,V65230,CONDOMINIO TIME CENTER CAMPINAS,VALMIR ALVES RIBEIRO,Corretiva/Chamado,Garantia,CAMERA ZK-LPR CAR ID (ZK TECO) QRCode produto: 'D21502942 ',Inativo,,1,0,1,0,2
C:\Users\paulo.aguiar\Downloads\2024487450condominiotimecentercampinas\V63530.pdf,V63530,CONDOMINIO TIME CENTER,LEANDRO TIAGO,Outro,Avulso,TORNIQUETE SMART,Inativo,,1,0,0,0,1
C:\Users\paulo.aguiar\Downloads\2024487450condominiotimecentercampinas\V63364.pdf,V63364,CONDOMINIO TIME CENTER,BRUNO HENRIQUE NAIDHIG /,Outro,Avulso,TORNIQUETE SMART,Inativo,,1,0,0,0,1
C:\Users\paulo.aguiar\Downloads\2024487450condominiotimecentercampinas\V63991.pdf,V63991,CONDOMINIO TIME CENTER,CELSO LUIS MATOS,Outro,Avulso,CAMERA ZK-LPR CAR,Inativo,,1,0,1,0,2
C:\Users\paulo.aguiar\Downloads\2024487450condominiotimecentercampinas\V63927.pdf,V63927,CONDOMINIO TIME CENTER,CELSO LUIS MATOS,Outro,Avulso,TORNIQUETE SMART,Inativo,,1,0,0,0,1
C:\Users\paulo.aguiar\Downloads\2024487450condominiotimecentercampinas\V64086.pdf,V64086,CONDOMINIO TIME CENTER,CELSO LUIS MATOS,Corretiva/Chamado,Garantia,TORNIQUETE SMART,Inativo,,1,0,0,0,1
C:\Users\paulo.aguiar\Downloads\2024487450condominiotimecentercampinas\V63045.pdf,V63045,CONDOMINIO TIME CENTER,CELSO LUIS MATOS / LEANDRO,Outro,Avulso,CONTROLADOR FACE,Inativo,,1,0,0,0,1
C:\Users\paulo.aguiar\Downloads\2024487450condominiotimecentercampinas\V63047.pdf,V63047,CONDOMINIO TIME CENTER,LEANDRO TIAGO / BRUNO,Outro,Avulso,CONTROLADOR FACE,Inativo,,1,0,0,0,1
C:\Users\paulo.aguiar\Downloads\2024487450condominiotimecentercampinas\V63046.pdf,V63046,CONDOMINIO TIME CENTER,LEANDRO TIAGO / BRUNO,Outro,Avulso,CONTROLADOR FACE,Inativo,,1,0,0,0,1
C:\Users\paulo.aguiar\Downloads\2024487450condominiotimecentercampinas\V66167.pdf,V66167,CONDOMINIO TIME CENTER CAMPINAS,CELSO LUIS MATOS / ISRAEL OSVALDO INACIO /,Corretiva/Chamado,Garantia,TORNIQUETE SMART TURN,Inativo,"( ) Nao ( )Sim , Alguma o bservacao? DATA LIMIT E PARA",1,0,0,0,1
C:\Users\paulo.aguiar\Downloads\2024487450condominiotimecentercampinas\V64091.pdf,V64091,CONDOMINIO TIME CENTER,CELSO LUIS MATOS,Corretiva/Chamado,Garantia,TORNIQUETE SMART,Inativo,,1,0,0,0,1
C:\Users\paulo.aguiar\Downloads\2024487450condominiotimecentercampinas\V66596.pdf,V66596,CONDOMINIO TIME CENTER CAMPINAS,CELSO LUIS MATOS,Corretiva/Chamado,Garantia,TORNIQUETE SMART TURN,Inativo,"( )Nao ( )Sim, Alguma observacao? DATA",1,0,1,0,2
C:\Users\paulo.aguiar\Downloads\2024487450condominiotimecentercampinas\V66751.pdf,V66751,CONDOMINIO TIME CENTER CAMPINAS,LEANDRO TIAGO,Corretiva/Chamado,Garantia,GABINETE COMPACT GATE V2 PX 125KHZ,Inativo,"(X) Nao ( )Sim , Alguma o bservacao? Nao. DATA LIMIT E PARA FAT",1,0,0,0,1
C:\Users\paulo.aguiar\Downloads\2024487450condominiotimecentercampinas\V66837.pdf,V66837,CONDOMINIO TIME CENTER CAMPINAS,CELSO LUIS MATOS,Corretiva/Chamado,Garantia,GABINETE COMPACT GATE V2 PX 125KHZ,Inativo,"(X)Nao ( )Sim, Alguma observacao? Nao.",1,0,0,0,1
C:\Users\paulo.aguiar\Downloads\2024487450condominiotimecentercampinas\V66279.pdf,V66279,CONDOMINIO TIME CENTER CAMPINAS,CELSO LUIS MATOS,Corretiva/Chamado,Garantia,TORNIQUETE SMART TURN,Inativo,"( )Nao ( )Sim, Alguma observacao? DATA",1,0,1,0,2
C:\Users\paulo.aguiar\Downloads\2024487450condominiotimecentercampinas\V66616.pdf,V66616,CONDOMINIO TIME CENTER CAMPINAS,VALMIR ALVES RIBEIRO,Corretiva/Chamado,Garantia,TORNIQUETE SMART TURN,Inativo,,1,0,1,0,2
C:\Users\paulo.aguiar\Downloads\2024487450condominiotimecentercampinas\V66689.pdf,V66689,CONDOMINIO TIME CENTER CAMPINAS,CELSO LUIS MATOS,Corretiva/Chamado,Garantia,TORNIQUETE SMART TURN,Inativo,"( )Nao ( )Sim, Alguma observacao? DATA",1,0,0,0,1
C:\Users\paulo.aguiar\Downloads\V66321.pdf,V66321,CONDOMINIO TIME CENTER CAMPINAS,CELSO LUIS MATOS,Corretiva/Chamado,Garantia,"CANCELA DMP DRIVE ESQ BR.RET 3,00M A 4,50M 220V",Inativo,"(X)Nao ()Sim, Alguma observacao? DATA LIMITE PARA FATURAMENTO:",1,0,1,0,2
C:\Users\paulo.aguiar\Downloads\V66692.pdf,V66692,CONDOMINIO TIME CENTER CAMPINAS,CELSO LUIS MATOS,Corretiva/Chamado,Garantia,GABINETE COMPACT GATE V2 PX 125KHZ,Inativo,"(X)Nao ( )Sim, Alguma observacao? Nao.",1,0,0,0,1
C:\Users\paulo.aguiar\Downloads\V65514.pdf,V65514,CONDOMINIO TIME CENTER CAMPINAS,LEANDRO TIAGO,Corretiva/Chamado,Garantia,TORNIQUETE SMART TURN,Inativo,( ) Nao (,1,0,0,0,1
C:\Users\paulo.aguiar\Downloads\v64582.pdf,V64582,CONDOMINIO TIME CENTER,BRUNO HENRIQUE NAIDHIG,Corretiva/Chamado,Garantia,CANCELA DMP DRIVE,Inativo,( )Nao (,1,0,1,0,2
C:\Users\paulo.aguiar\Downloads\V66167.pdf,V66167,CONDOMINIO TIME CENTER CAMPINAS,CELSO LUIS MATOS / ISRAEL OSVALDO INACIO /,Corretiva/Chamado,Garantia,TORNIQUETE SMART TURN,Inativo,"( ) Nao ( )Sim , Alguma o bservacao? DATA LIMIT E PARA",1,0,0,0,1
